Nat,Pokemon,TypeI,TypeII,AbilityI,AbilityII,HiddenAbility,Gender,EggGroupI,EggGroupII,Catch,Evolve,Form,GenII,GenIII,GenIV,GenV,GenVI,SunMoon,ORAS,SwSh,BDSP,SV
346,Cradily,Rock,Grass,Suction Cups,,Storm Drain,M (87.5%),Water 3,,45,Lv. 40,Base,,X,X,X,X,X,X,X,X,
347,Anorith,Rock,Bug,Battle Armor,,Swift Swim,M (87.5%),Water 3,,45,,Base,,X,X,X,X,X,X,X,X,
348,Armaldo,Rock,Bug,Battle Armor,,Swift Swim,M (87.5%),Water 3,,45,Lv. 40,Base,,X,X,X,X,X,X,X,X,
349,Feebas,Water,,Swift Swim,,Adaptability,Neutral,Water 1,Dragon,255,,Base,,X,X,X,X,X,X,X,X,
350,Milotic,Water,,Marvel Scale,,Cute Charm,Neutral,Water 1,Dragon,60,Level w/ Max Beauty,Base,,X,X,X,X,X,X,X,X,
351,Castform,Normal,,Forecast,,,Neutral,Fairy,Amorphous,45,N,Base,,X,X,X,X,X,X,,X,
352,Kecleon,Normal,,Color Change,,Protean,Neutral,Field,,200,N,Base,,X,X,X,X,X,X,,X,
353,Shuppet,Ghost,,Insomnia,Frisk,Cursed Body,Neutral,Amorphous,,225,,Base,,X,X,X,X,X,X,,X,X
354,Banette,Ghost,,Insomnia,Frisk,Cursed Body,Neutral,Amorphous,,45,Lv. 37,Base,,X,X,X,X,X,X,,X,X
355,Duskull,Ghost,,Levitate,,Frisk,Neutral,Amorphous,,190,,Base,,X,X,X,X,X,X,X,X,
356,Dusclops,Ghost,,Pressure,,Frisk,Neutral,Amorphous,,90,Lv. 37,Base,,X,X,X,X,X,X,X,X,
357,Tropius,Grass,Flying,Chlorophyll,Solar Power,Harvest,Neutral,Monster,Grass,200,N,Base,,X,X,X,X,X,X,,X,X
358,Chimecho,Psychic,,Levitate,,,Neutral,Amorphous,,45,Nite Friendship,Base,,X,X,X,X,X,X,,X,
359,Absol,Dark,,Pressure,Super Luck,Justified,Neutral,Field,,30,N,Base,,X,X,X,X,X,X,X,X,
360,Wynaut,Psychic,,Shadow Tag,,Telepathy,Neutral,-,,125,,Base,,X,X,X,X,X,X,X,X,
361,Snorunt,Ice,,Inner Focus,Ice Body,Moody,Neutral,Fairy,Mineral,190,,Base,,X,X,X,X,X,X,X,X,X
362,Glalie,Ice,,Inner Focus,Ice Body,Moody,Neutral,Fairy,Mineral,75,Lv. 42,Base,,X,X,X,X,X,X,X,X,X
363,Spheal,Ice,Water,Thick Fat,Ice Body,Oblivious,Neutral,Water 1,Field,255,,Base,,X,X,X,X,X,X,X,X,
364,Sealeo,Ice,Water,Thick Fat,Ice Body,Oblivious,Neutral,Water 1,Field,120,Lv. 32,Base,,X,X,X,X,X,X,X,X,
365,Walrein,Ice,Water,Thick Fat,Ice Body,Oblivious,Neutral,Water 1,Field,45,Lv. 44,Base,,X,X,X,X,X,X,X,X,
366,Clamperl,Water,,Shell Armor,,Rattled,Neutral,Water 1,,255,,Base,,X,X,X,X,X,X,,X,
367,Huntail,Water,,Swift Swim,,Water Veil,Neutral,Water 1,,60,Trade w/ Deepseatooth,Base,,X,X,X,X,X,X,,X,
368,Gorebyss,Water,,Swift Swim,,Hydration,Neutral,Water 1,,60,Trade w/ Deepseascale,Base,,X,X,X,X,X,X,,X,
369,Relicanth,Water,Rock,Swift Swim,Rock Head,Sturdy,M (87.5%),Water 1,Water 2,25,N,Base,,X,X,X,X,X,X,X,X,
370,Luvdisc,Water,,Swift Swim,,Hydration,F (75%),Water 2,,225,N,Base,,X,X,X,X,X,X,,X,X
371,Bagon,Dragon,,Rock Head,,Sheer Force,Neutral,Dragon,,45,,Base,,X,X,X,X,X,X,X,X,X
372,Shelgon,Dragon,,Rock Head,,Overcoat,Neutral,Dragon,,45,Lv. 30,Base,,X,X,X,X,X,X,X,X,X
373,Salamence,Dragon,Flying,Intimidate,,Moxie,Neutral,Dragon,,45,Lv. 50,Base,,X,X,X,X,X,X,X,X,X
374,Beldum,Steel,Psychic,Clear Body,,Light Metal,None,Mineral,,3,,Base,,X,X,X,X,X,X,X,X,
375,Metang,Steel,Psychic,Clear Body,,Light Metal,None,Mineral,,3,Lv. 20,Base,,X,X,X,X,X,X,X,X,
376,Metagross,Steel,Psychic,Clear Body,,Light Metal,None,Mineral,,3,Lv. 45,Base,,X,X,X,X,X,X,X,X,
377,Regirock,Rock,,Clear Body,,Sturdy,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,
378,Regice,Ice,,Clear Body,,Ice Body,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,
379,Registeel,Steel,,Clear Body,,Light Metal,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,
380,Latias,Dragon,Psychic,Levitate,,,F (100%),-,,3,N,Base,,X,X,X,X,X,X,X,X,
381,Latios,Dragon,Psychic,Levitate,,,M (100%),-,,3,N,Base,,X,X,X,X,X,X,X,X,
382,Kyogre,Water,,Drizzle,,,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,X
383,Groudon,Ground,,Drought,,,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,X
384,Rayquaza,Dragon,Flying,Air Lock,,,None,-,,45,N,Base,,X,X,X,X,X,X,X,X,X
385,Jirachi,Steel,Psychic,Serene Grace,,,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,
386,Deoxys (N),Psychic,,Pressure,,,None,-,,3,N,Base,,X,X,X,X,X,X,X,X,
387,Turtwig,Grass,,Overgrow,,Shell Armor,M (87.5%),Monster,Grass,45,,Base,,,X,X,X,X,X,,X,
388,Grotle,Grass,,Overgrow,,Shell Armor,M (87.5%),Monster,Grass,45,Lv. 18,Base,,,X,X,X,X,X,,X,
389,Torterra,Grass,Ground,Overgrow,,Shell Armor,M (87.5%),Monster,Grass,45,Lv. 32,Base,,,X,X,X,X,X,,X,
390,Chimchar,Fire,,Blaze,,Iron Fist,M (87.5%),Field,Human-Like,45,,Base,,,X,X,X,X,X,,X,
391,Monferno,Fire,Fighting,Blaze,,Iron Fist,M (87.5%),Field,Human-Like,45,Lv. 14,Base,,,X,X,X,X,X,,X,
392,Infernape,Fire,Fighting,Blaze,,Iron Fist,M (87.5%),Field,Human-Like,45,Lv. 36,Base,,,X,X,X,X,X,,X,
393,Piplup,Water,,Torrent,,Defiant,M (87.5%),Water 1,Field,45,,Base,,,X,X,X,X,X,,X,
394,Prinplup,Water,,Torrent,,Defiant,M (87.5%),Water 1,Field,45,Lv. 16,Base,,,X,X,X,X,X,,X,
395,Empoleon,Water,Steel,Torrent,,Defiant,M (87.5%),Water 1,Field,45,Lv. 36,Base,,,X,X,X,X,X,,X,
396,Starly,Normal,Flying,Keen Eye,,Reckless,Neutral,Flying,,255,,Base,,,X,X,X,X,X,,X,X
397,Staravia,Normal,Flying,Intimidate,,Reckless,Neutral,Flying,,120,Lv. 14,Base,,,X,X,X,X,X,,X,X
398,Staraptor,Normal,Flying,Intimidate,,Reckless,Neutral,Flying,,45,Lv. 34,Base,,,X,X,X,X,X,,X,X
399,Bidoof,Normal,,Simple,Unaware,Moody,Neutral,Water 1,Field,255,,Base,,,X,X,X,X,X,,X,
400,Bibarel,Normal,Water,Simple,Unaware,Moody,Neutral,Water 1,Field,127,Lv. 15,Base,,,X,X,X,X,X,,X,
401,Kricketot,Bug,,Shed Skin,,Run Away,Neutral,Bug,,255,,Base,,,X,X,X,X,X,,X,X
402,Kricketune,Bug,,Swarm,,Technician,Neutral,Bug,,45,Lv. 10,Base,,,X,X,X,X,X,,X,X
403,Shinx,Electric,,Rivalry,Intimidate,Guts,Neutral,Field,,235,,Base,,,X,X,X,X,X,X,X,X
404,Luxio,Electric,,Rivalry,Intimidate,Guts,Neutral,Field,,120,Lv. 15,Base,,,X,X,X,X,X,X,X,X
405,Luxray,Electric,,Rivalry,Intimidate,Guts,Neutral,Field,,45,Lv. 30,Base,,,X,X,X,X,X,X,X,X
406,Budew,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Neutral,-,,255,,Base,,,X,X,X,X,X,X,X,
407,Roserade,Grass,Poison,Natural Cure,Poison Point,Technician,Neutral,Fairy,Grass,75,Shiny Stone,Base,,,X,X,X,X,X,X,X,
408,Cranidos,Rock,,Mold Breaker,,Sheer Force,M (87.5%),Monster,,45,,Base,,,X,X,X,X,X,,X,
409,Rampardos,Rock,,Mold Breaker,,Sheer Force,M (87.5%),Monster,,45,Lv. 30,Base,,,X,X,X,X,X,,X,
410,Shieldon,Rock,Steel,Sturdy,,Soundproof,M (87.5%),Monster,,45,,Base,,,X,X,X,X,X,,X,
411,Bastiodon,Rock,Steel,Sturdy,,Soundproof,M (87.5%),Monster,,45,Lv. 30,Base,,,X,X,X,X,X,,X,
412,Burmy,Bug,,Shed Skin,,Overcoat,Neutral,Bug,,120,,Base,,,X,X,X,X,X,,X,
413,Wormadam (P),Bug,Grass,Anticipate,,Overcoat,F (100%),Bug,,45,Lv. 20F Plant Cloak,Base,,,X,X,X,X,X,,X,
414,Mothim,Bug,Flying,Swarm,,Tinted Lens,M (100%),Bug,,45,Lv. 20M,Base,,,X,X,X,X,X,,X,
415,Combee,Bug,Flying,Honey Gather,,Hustle,M (87.5%),Bug,,120,,Base,,,X,X,X,X,X,X,X,X
416,Vespiquen,Bug,Flying,Pressure,,Unnerve,F (100%),Bug,,45,Lv. 21F,Base,,,X,X,X,X,X,X,X,X
417,Pachirisu,Electric,,Run Away,Pickup,Volt Absorb,Neutral,Field,Fairy,200,N,Base,,,X,X,X,X,X,,X,X
418,Buizel,Water,,Swift Swim,,Water Veil,Neutral,Water 1,Field,190,,Base,,,X,X,X,X,X,,X,X
419,Floatzel,Water,,Swift Swim,,Water Veil,Neutral,Water 1,Field,75,Lv. 26,Base,,,X,X,X,X,X,,X,X
420,Cherubi,Grass,,Chlorophyll,,,Neutral,Fairy,Grass,190,,Base,,,X,X,X,X,X,X,X,
421,Cherrim,Grass,,Flower Gift,,,Neutral,Fairy,Grass,75,Lv. 25,Base,,,X,X,X,X,X,X,X,
422,Shellos,Water,,Sticky Hold,Storm Drain,Sand Force,Neutral,Water 1,Amorphous,190,,Base,,,X,X,X,X,X,X,X,
423,Gastrodon,Water,Ground,Sticky Hold,Storm Drain,Sand Force,Neutral,Water 1,Amorphous,75,Lv. 30,Base,,,X,X,X,X,X,X,X,
424,Ambipom,Normal,,Technician,Pickup,Skill Link,Neutral,Field,,45,Level w/ Double Hit,Base,,,X,X,X,X,X,,X,
425,Drifloon,Ghost,Flying,Aftermath,Unburden,Flare Boost,Neutral,Amorphous,,125,,Base,,,X,X,X,X,X,X,X,X
426,Drifblim,Ghost,Flying,Aftermath,Unburden,Flare Boost,Neutral,Amorphous,,60,Lv. 28,Base,,,X,X,X,X,X,X,X,X
427,Buneary,Normal,,Run Away,Klutz,Limber,Neutral,Field,Human-Like,190,,Base,,,X,X,X,X,X,X,X,
428,Lopunny,Normal,,Cute Charm,Klutz,Limber,Neutral,Field,Human-Like,60,Friendship,Base,,,X,X,X,X,X,X,X,
429,Mismagius,Ghost,,Levitate,,,Neutral,Amorphous,,45,Dusk Stone,Base,,,X,X,X,X,X,,X,X
430,Honchkrow,Dark,Flying,Insomnia,Super Luck,Moxie,Neutral,Flying,,30,Dusk Stone,Base,,,X,X,X,X,X,,X,X
431,Glameow,Normal,,Limber,Own Tempo,Keen Eye,F (75%),Field,,190,,Base,,,X,X,X,X,X,,X,
432,Purugly,Normal,,Thick Fat,Own Tempo,Defiant,F (75%),Field,,75,Lv. 38,Base,,,X,X,X,X,X,,X,
433,Chingling,Psychic,,Levitate,,,Neutral,-,,120,,Base,,,X,X,X,X,X,,X,
434,Stunky,Poison,Dark,Stench,Aftermath,Keen Eye,Neutral,Field,,225,,Base,,,X,X,X,X,X,X,X,X
435,Skuntank,Poison,Dark,Stench,Aftermath,Keen Eye,Neutral,Field,,60,Lv. 34,Base,,,X,X,X,X,X,X,X,X
436,Bronzor,Steel,Psychic,Levitate,Heatproof,Heavy Metal,None,Mineral,,255,,Base,,,X,X,X,X,X,X,X,X
437,Bronzong,Steel,Psychic,Levitate,Heatproof,Heavy Metal,None,Mineral,,90,Lv. 33,Base,,,X,X,X,X,X,X,X,X
438,Bonsly,Rock,,Sturdy,Rock Head,Rattled,Neutral,-,,255,,Base,,,X,X,X,X,X,X,X,X
439,Mime Jr.,Psychic,Fairy,Soundproof,Filter,Technician,Neutral,-,,145,,Base,,,X,X,X,X,X,X,X,
440,Happiny,Normal,,Natural Cure,Serene Grace,Friend Guard,F (100%),-,,130,,Base,,,X,X,X,X,X,X,X,X
441,Chatot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Neutral,Flying,,30,N,Base,,,X,X,X,X,X,,X,
442,Spiritomb,Ghost,Dark,Pressure,,Infiltrator,Neutral,Amorphous,,100,N,Base,,,X,X,X,X,X,X,X,X
443,Gible,Dragon,Ground,Sand Veil,,Rough Skin,Neutral,Monster,Dragon,45,,Base,,,X,X,X,X,X,X,X,X
444,Gabite,Dragon,Ground,Sand Veil,,Rough Skin,Neutral,Monster,Dragon,45,Lv. 24,Base,,,X,X,X,X,X,X,X,X
445,Garchomp,Dragon,Ground,Sand Veil,,Rough Skin,Neutral,Monster,Dragon,45,Lv. 48,Base,,,X,X,X,X,X,X,X,X
446,Munchlax,Normal,,Pickup,Thick Fat,Gluttony,M (87.5%),-,,50,,Base,,,X,X,X,X,X,X,X,
447,Riolu,Fighting,,Steadfast,Inner Focus,Prankster,M (87.5%),-,,75,,Base,,,X,X,X,X,X,X,X,X
448,Lucario,Fighting,Steel,Steadfast,Inner Focus,Justified,M (87.5%),Field,Human-Like,45,Morn/Day Friendship,Base,,,X,X,X,X,X,X,X,X
449,Hippopotas,Ground,,Sand Stream,,Sand Force,Neutral,Field,,140,,Base,,,X,X,X,X,X,X,X,X
450,Hippowdon,Ground,,Sand Stream,,Sand Force,Neutral,Field,,60,Lv. 34,Base,,,X,X,X,X,X,X,X,X
451,Skorupi,Poison,Bug,Battle Armor,Sniper,Keen Eye,Neutral,Bug,Water 3,120,,Base,,,X,X,X,X,X,X,X,
452,Drapion,Poison,Dark,Battle Armor,Sniper,Keen Eye,Neutral,Bug,Water 3,45,Lv. 40,Base,,,X,X,X,X,X,X,X,
453,Croagunk,Poison,Fighting,Anticipate,Dry Skin,Poison Touch,Neutral,Human-Like,,140,,Base,,,X,X,X,X,X,X,X,X
454,Toxicroak,Poison,Fighting,Anticipate,Dry Skin,Poison Touch,Neutral,Human-Like,,75,Lv. 37,Base,,,X,X,X,X,X,X,X,X
455,Carnivine,Grass,,Levitate,,,Neutral,Grass,,200,N,Base,,,X,X,X,X,X,,X,
456,Finneon,Water,,Swift Swim,Storm Drain,Water Veil,Neutral,Water 2,,190,,Base,,,X,X,X,X,X,,X,X
457,Lumineon,Water,,Swift Swim,Storm Drain,Water Veil,Neutral,Water 2,,75,Lv. 31,Base,,,X,X,X,X,X,,X,X
458,Mantyke,Water,Flying,Swift Swim,Water Absorb,,Neutral,-,,25,,Base,,,X,X,X,X,X,X,X,
459,Snover,Ice,Grass,Snow Warning,,Soundproof,Neutral,Monster,Grass,120,,Base,,,X,X,X,X,X,X,X,X
460,Abomasnow,Ice,Grass,Snow Warning,,Soundproof,Neutral,Monster,Grass,60,Lv. 40,Base,,,X,X,X,X,X,X,X,X
461,Weavile,Dark,Ice,Pressure,,Pickpocket,Neutral,Field,,45,Nite Level h/ Razor Claw,Base,,,X,X,X,X,X,X,X,X
462,Magnezone,Electric,Steel,Magnet Pull,Sturdy,Analytic,None,Mineral,,30,Level a/ Mt. Coronet,Base,,,X,X,X,X,X,X,X,X
463,Lickilicky,Normal,,Own Tempo,Oblivious,Cloud Nine,Neutral,Monster,,30,Level w/ Rollout,Base,,,X,X,X,X,X,X,X,
464,Rhyperior,Ground,Rock,Lightning Rod,Solid Rock,Regenerator,Neutral,Monster,Field,30,Trade h/ Protector,Base,,,X,X,X,X,X,X,X,
465,Tangrowth,Grass,,Chlorophyll,Leaf Guard,Regenerator,Neutral,Grass,,30,Level w/ Ancientpower,Base,,,X,X,X,X,X,X,X,
466,Electivire,Electric,,Motor Drive,,Vital Spirit,M (75%),Human-Like,,30,Trade h/ Electrizer,Base,,,X,X,X,X,X,X,X,
467,Magmortar,Fire,,Flame Body,,Vital Spirit,M (75%),Human-Like,,30,Trade h/ Magmarizer,Base,,,X,X,X,X,X,X,X,
468,Togekiss,Fairy,Flying,Hustle,Serene Grace,Super Luck,M (87.5%),Flying,Fairy,30,Shiny Stone,Base,,,X,X,X,X,X,X,X,
469,Yanmega,Bug,Flying,Speed Boost,Tinted Lens,Frisk,Neutral,Bug,,30,Level w/ Ancientpower,Base,,,X,X,X,X,X,,X,
470,Leafeon,Grass,,Leaf Guard,,Chlorophyll,M (87.5%),Field,,45,Level a/ Moss Rock,Base,,,X,X,X,X,X,X,X,X
471,Glaceon,Ice,,Snow Cloak,,Ice Body,M (87.5%),Field,,45,Level a/ Ice Rock,Base,,,X,X,X,X,X,X,X,X
472,Gliscor,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,Neutral,Bug,,30,Nite Level h/ Razor Fang,Base,,,X,X,X,X,X,,X,
473,Mamoswine,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Neutral,Field,,50,Level w/ Ancientpower,Base,,,X,X,X,X,X,X,X,
474,Porygon-Z,Normal,,Adaptability,Download,Analytic,None,Mineral,,30,Trade w/ Dubious Disc,Base,,,X,X,X,X,X,X,X,
475,Gallade,Psychic,Fighting,Steadfast,,Justified,M (100%),Amorphous,,45,Dawn StoneM,Base,,,X,X,X,X,X,,,
475,Gallade,,,,,,,,,,,,,,,,,,,,,
475,Gallade,Psychic,Fighting,Steadfast,,Justified,M (100%),Human-Like,Amorphous,45,Dawn StoneM,Base,,,,,,,,X,X,X
476,Probopass,Rock,Steel,Sturdy,Magnet Pull,Sand Force,Neutral,Mineral,,60,Level a/ Mt. Coronet,Base,,,X,X,X,X,X,,X,
477,Dusknoir,Ghost,,Pressure,,Frisk,Neutral,Amorphous,,45,Trade w/ Reaper Cloth,Base,,,X,X,X,X,X,X,X,
478,Froslass,Ice,Ghost,Snow Cloak,,Cursed Body,F (100%),Fairy,Mineral,75,Dawn StoneF,Base,,,X,X,X,X,X,X,X,X
479,Rotom,Electric,Ghost,Levitate,,,None,Amorphous,,45,N,Base,,,X,X,X,X,X,X,X,X
480,Uxie,Psychic,,Levitate,,,None,-,,3,N,Base,,,X,X,X,X,X,X,X,X
481,Mesprit,Psychic,,Levitate,,,None,-,,3,N,Base,,,X,X,X,X,X,X,X,X
482,Azelf,Psychic,,Levitate,,,None,-,,3,N,Base,,,X,X,X,X,X,X,X,X
483,Dialga,Steel,Dragon,Pressure,,Telepathy,None,-,,3,N,Base,,,X,X,X,X,X,X,X,X
484,Palkia,Water,Dragon,Pressure,,Telepathy,None,-,,3,N,Base,,,X,X,X,X,X,X,X,X
485,Heatran,Fire,Steel,Flash Fire,,Flame Body,Neutral,-,,3,N,Base,,,X,X,X,X,X,X,X,X
486,Regigigas,Normal,,Slow Start,,,None,-,,3,N,Base,,,X,X,X,X,X,X,X,
487,Giratina,Ghost,Dragon,Pressure,,Telepathy,None,-,,3,N,Base,,,X,X,X,X,X,X,X,X
488,Cresselia,Psychic,,Levitate,,,F (100%),-,,3,N,Base,,,X,X,X,X,X,X,X,X
489,Phione,Water,,Hydration,,,None,-,,30,N,Base,,,X,X,X,X,X,,X,
490,Manaphy,Water,,Hydration,,,None,-,,3,N,Base,,,X,X,X,X,X,,X,
491,Darkrai,Dark,,Bad Dreams,,,None,-,,3,N,Base,,,X,X,X,X,X,,X,
492,Shaymin,Grass,,Natural Cure,,,None,-,,45,N,Base,,,X,X,X,X,X,,X,
493,Arceus,Normal,,Multitype,,,None,-,,3,N,Base,,,X,X,X,X,X,,X,
494,Victini,Psychic,Fire,Victory Star,,,None,-,,3,N,Base,,,,X,X,X,X,X,,
495,Snivy,Grass,,Overgrow,,Contrary,M (87.5%),Field,Grass,45,,Base,,,,X,X,X,X,,,
496,Servine,Grass,,Overgrow,,Contrary,M (87.5%),Field,Grass,45,Lv. 17,Base,,,,X,X,X,X,,,
497,Serperior,Grass,,Overgrow,,Contrary,M (87.5%),Field,Grass,45,Lv. 36,Base,,,,X,X,X,X,,,
498,Tepig,Fire,,Blaze,,Thick Fat,M (87.5%),Field,,45,,Base,,,,X,X,X,X,,,
499,Pignite,Fire,Fighting,Blaze,,Thick Fat,M (87.5%),Field,,45,Lv. 17,Base,,,,X,X,X,X,,,
500,Emboar,Fire,Fighting,Blaze,,Reckless,M (87.5%),Field,,45,Lv. 36,Base,,,,X,X,X,X,,,
501,Oshawott,Water,,Torrent,,Shell Armor,M (87.5%),Field,,45,,Base,,,,X,X,X,X,,,X
502,Dewott,Water,,Torrent,,Shell Armor,M (87.5%),Field,,45,Lv. 17,Base,,,,X,X,X,X,,,X
503,Samurott,Water,,Torrent,,Shell Armor,M (87.5%),Field,,45,Lv. 36,Base,,,,X,X,X,X,,,X
503,H. Samurott,Water,Dark,Torrent,,Shell Armor,M (87.5%),Field,,45,Level 36 (Hisui Only),Hisuian,,,,,,,,,,X
504,Patrat,Normal,,Run Away,Keen Eye,Analytic,Neutral,Field,,255,,Base,,,,X,X,X,X,,,
505,Watchog,Normal,,Illuminate,Keen Eye,Analytic,Neutral,Field,,255,Lv. 20,Base,,,,X,X,X,X,,,
506,Lillipup,Normal,,Vital Spirit,Pickup,Run Away,Neutral,Field,,255,,Base,,,,X,X,X,X,X,,
507,Herdier,Normal,,Intimidate,Sand Rush,Scrappy,Neutral,Field,,120,Lv. 16,Base,,,,X,X,X,X,X,,
508,Stoutland,Normal,,Intimidate,Sand Rush,Scrappy,Neutral,Field,,45,Lv. 32,Base,,,,X,X,X,X,X,,
509,Purrloin,Dark,,Limber,Unburden,Prankster,Neutral,Field,,255,,Base,,,,X,X,X,X,X,,
510,Liepard,Dark,,Limber,Unburden,Prankster,Neutral,Field,,90,Lv. 20,Base,,,,X,X,X,X,X,,
511,Pansage,Grass,,Gluttony,,Overgrowth,M (87.5%),Field,,190,,Base,,,,X,X,X,X,,,
512,Simisage,Grass,,Gluttony,,Overgrowth,M (87.5%),Field,,75,Leaf Stone,Base,,,,X,X,X,X,,,
513,Pansear,Fire,,Gluttony,,Blaze,M (87.5%),Field,,190,,Base,,,,X,X,X,X,,,
514,Simisear,Fire,,Gluttony,,Blaze,M (87.5%),Field,,75,Fire Stone,Base,,,,X,X,X,X,,,
515,Panpour,Water,,Gluttony,,Torrent,M (87.5%),Field,,190,,Base,,,,X,X,X,X,,,
516,Simipour,Water,,Gluttony,,Torrent,M (87.5%),Field,,75,Water Stone,Base,,,,X,X,X,X,,,
517,Munna,Psychic,,Forewarn,Synchronize,Telepathy,Neutral,Field,,190,,Base,,,,X,X,X,X,X,,
518,Musharna,Psychic,,Forewarn,Synchronize,Telepathy,Neutral,Field,,75,Moon Stone,Base,,,,X,X,X,X,X,,
519,Pidove,Normal,Flying,Big Pecks,Super Luck,Rivalry,Neutral,Flying,,255,,Base,,,,X,X,X,X,X,,
520,Tranquill,Normal,Flying,Big Pecks,Super Luck,Rivalry,Neutral,Flying,,120,Lv. 21,Base,,,,X,X,X,X,X,,
521,Unfezant,Normal,Flying,Big Pecks,Super Luck,Rivalry,Neutral,Flying,,45,Lv. 32,Base,,,,X,X,X,X,X,,
522,Blitzle,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Neutral,Field,,190,,Base,,,,X,X,X,X,,,
523,Zebstrika,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Neutral,Field,,75,Lv. 27,Base,,,,X,X,X,X,,,
524,Roggenrola,Rock,,Sturdy,,Sand Force,Neutral,Mineral,,255,,Base,,,,X,X,X,X,X,,
525,Boldore,Rock,,Sturdy,,Sand Force,Neutral,Mineral,,120,Lv. 25,Base,,,,X,X,X,X,X,,
526,Gigalith,Rock,,Sturdy,,Sand Force,Neutral,Mineral,,45,Trade,Base,,,,X,X,X,X,X,,
527,Woobat,Psychic,Flying,Unaware,Klutz,Simple,Neutral,Field,Flying,190,,Base,,,,X,X,X,X,X,,
528,Swoobat,Psychic,Flying,Unaware,Klutz,Simple,Neutral,Field,Flying,45,Friendship,Base,,,,X,X,X,X,X,,
529,Drilbur,Ground,,Sand Rush,Sand Force,Mold Breaker,Neutral,Field,,120,,Base,,,,X,X,X,X,X,,
530,Excadrill,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,Neutral,Field,,60,Lv. 31,Base,,,,X,X,X,X,X,,
531,Audino,Normal,,Healer,Regenerator,Klutz,Neutral,Fairy,,255,N,Base,,,,X,X,X,X,X,,
532,Timburr,Fighting,,Guts,Sheer Force,Iron Fist,M (75%),Human-Like,,180,,Base,,,,X,X,X,X,X,,
533,Gurdurr,Fighting,,Guts,Sheer Force,Iron Fist,M (75%),Human-Like,,90,Lv. 25,Base,,,,X,X,X,X,X,,
534,Conkeldurr,Fighting,,Guts,Sheer Force,Iron Fist,M (75%),Human-Like,,45,Trade,Base,,,,X,X,X,X,X,,
535,Tympole,Water,,Swift Swim,Hydration,Water Absorb,Neutral,Water 1,,255,,Base,,,,X,X,X,X,X,,
536,Palpitoad,Water,Ground,Swift Swim,Hydration,Water Absorb,Neutral,Water 1,,120,Lv. 25,Base,,,,X,X,X,X,X,,
537,Seismitoad,Water,Ground,Swift Swim,Poison Touch,Water Absorb,Neutral,Water 1,,45,Lv. 36,Base,,,,X,X,X,X,X,,
538,Throh,Fighting,,Guts,Inner Focus,Mold Breaker,M (100%),Human-Like,,45,,Base,,,,X,X,X,X,X,,
539,Sawk,Fighting,,Sturdy,Inner Focus,Mold Breaker,M (100%),Human-Like,,45,,Base,,,,X,X,X,X,X,,
540,Sewaddle,Bug,Grass,Swarm,Chlorophyll,Overcoat,Neutral,Bug,,255,,Base,,,,X,X,X,X,,,
541,Swadloon,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Neutral,Bug,,120,Lv. 20,Base,,,,X,X,X,X,,,
542,Leavanny,Bug,Grass,Swarm,Chlorophyll,Overcoat,Neutral,Bug,,45,Friendship,Base,,,,X,X,X,X,,,
543,Venipede,Bug,Poison,Poison Point,Swarm,Speed Boost,Neutral,Bug,,255,,Base,,,,X,X,X,X,X,,
544,Whirlipede,Bug,Poison,Poison Point,Swarm,Speed Boost,Neutral,Bug,,120,Lv. 22,Base,,,,X,X,X,X,X,,
545,Scolipede,Bug,Poison,Poison Point,Swarm,Speed Boost,Neutral,Bug,,45,Lv. 30,Base,,,,X,X,X,X,X,,
546,Cottonee,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Neutral,Grass,Fairy,190,,Base,,,,X,X,X,X,X,,
547,Whimsicott,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Neutral,Grass,Fairy,75,Sun Stone,Base,,,,X,X,X,X,X,,
548,Petilil,Grass,,Chlorophyll,Own Tempo,Leaf Guard,F (100%),Grass,,190,,Base,,,,X,X,X,X,X,,X
549,Lilligant,Grass,,Chlorophyll,Own Tempo,Leaf Guard,F (100%),Grass,,75,Sun Stone,Base,,,,X,X,X,X,X,,X
549,H. Lilligant,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,F (100%),Grass,,75,Sun Stone (Hisui Only),Hisuian,,,,,,,,,,X
550,Red Basculin,Water,,Reckless,Adaptability,Mold Breaker,Neutral,Water 2,,25,N,Base,,,,X,X,X,X,X,,X
550,White Basculin,Water,,Rattled,Adaptability,Mold Breaker,Neutral,Water 2,,25,,Hisuian,,,,,,,,,,X
